# Metrics for banking-kafka
# Job: banking-kafka
# Category: messaging
# Exported at: 2025-07-02T11:09:54.024292
# Total metrics: 432
# Unique metric types: 63

## go_gc_duration_seconds
kafka_topic_partition_current_offset{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="21",topic="__consumer_offsets"} 0
kafka_topic_partition_current_offset{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="22",topic="__consumer_offsets"} 0
kafka_topic_partition_current_offset{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="23",topic="__consumer_offsets"} 0
kafka_topic_partition_current_offset{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="24",topic="__consumer_offsets"} 32638
kafka_topic_partition_current_offset{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="25",topic="__consumer_offsets"} 0
kafka_topic_partition_current_offset{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="26",topic="__consumer_offsets"} 0
kafka_topic_partition_current_offset{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="27",topic="__consumer_offsets"} 0
kafka_topic_partition_current_offset{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="28",topic="__consumer_offsets"} 0
kafka_topic_partition_current_offset{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="29",topic="__consumer_offsets"} 0
kafka_topic_partition_current_offset{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="3",topic="__consumer_offsets"} 0
kafka_topic_partition_current_offset{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="30",topic="__consumer_offsets"} 0
kafka_topic_partition_current_offset{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="31",topic="__consumer_offsets"} 0
kafka_topic_partition_current_offset{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="32",topic="__consumer_offsets"} 0
kafka_topic_partition_current_offset{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="33",topic="__consumer_offsets"} 0
kafka_topic_partition_current_offset{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="34",topic="__consumer_offsets"} 0
kafka_topic_partition_current_offset{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="35",topic="__consumer_offsets"} 0
kafka_topic_partition_current_offset{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="36",topic="__consumer_offsets"} 0
kafka_topic_partition_current_offset{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="37",topic="__consumer_offsets"} 0
kafka_topic_partition_current_offset{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="38",topic="__consumer_offsets"} 0
kafka_topic_partition_current_offset{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="39",topic="__consumer_offsets"} 0
kafka_topic_partition_current_offset{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="4",topic="__consumer_offsets"} 0
kafka_topic_partition_current_offset{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="40",topic="__consumer_offsets"} 0
kafka_topic_partition_current_offset{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="41",topic="__consumer_offsets"} 0
kafka_topic_partition_current_offset{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="42",topic="__consumer_offsets"} 0
kafka_topic_partition_current_offset{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="43",topic="__consumer_offsets"} 32567
kafka_topic_partition_current_offset{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="44",topic="__consumer_offsets"} 0
kafka_topic_partition_current_offset{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="45",topic="__consumer_offsets"} 0
kafka_topic_partition_current_offset{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="46",topic="__consumer_offsets"} 0
kafka_topic_partition_current_offset{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="47",topic="__consumer_offsets"} 0
kafka_topic_partition_current_offset{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="48",topic="__consumer_offsets"} 0
kafka_topic_partition_current_offset{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="49",topic="__consumer_offsets"} 0
kafka_topic_partition_current_offset{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="5",topic="__consumer_offsets"} 0
kafka_topic_partition_current_offset{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="6",topic="__consumer_offsets"} 0
kafka_topic_partition_current_offset{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="7",topic="__consumer_offsets"} 0
kafka_topic_partition_current_offset{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="8",topic="__consumer_offsets"} 0
kafka_topic_partition_current_offset{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="9",topic="__consumer_offsets"} 0

## kafka_topic_partition_in_sync_replica
kafka_topic_partition_in_sync_replica{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="0",topic="__consumer_offsets"} 1
kafka_topic_partition_in_sync_replica{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="0",topic="audit-logs"} 1
kafka_topic_partition_in_sync_replica{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="0",topic="transaction-events"} 1
kafka_topic_partition_in_sync_replica{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="1",topic="__consumer_offsets"} 1
kafka_topic_partition_in_sync_replica{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="10",topic="__consumer_offsets"} 1
kafka_topic_partition_in_sync_replica{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="11",topic="__consumer_offsets"} 1
kafka_topic_partition_in_sync_replica{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="12",topic="__consumer_offsets"} 1
kafka_topic_partition_in_sync_replica{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="13",topic="__consumer_offsets"} 1
kafka_topic_partition_in_sync_replica{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="14",topic="__consumer_offsets"} 1
kafka_topic_partition_in_sync_replica{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="15",topic="__consumer_offsets"} 1
kafka_topic_partition_in_sync_replica{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="16",topic="__consumer_offsets"} 1
kafka_topic_partition_in_sync_replica{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="17",topic="__consumer_offsets"} 1
kafka_topic_partition_in_sync_replica{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="18",topic="__consumer_offsets"} 1
kafka_topic_partition_in_sync_replica{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="19",topic="__consumer_offsets"} 1
kafka_topic_partition_in_sync_replica{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="2",topic="__consumer_offsets"} 1
kafka_topic_partition_in_sync_replica{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="20",topic="__consumer_offsets"} 1
kafka_topic_partition_in_sync_replica{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="21",topic="__consumer_offsets"} 1
